Date,Adj Close Reconstructed,Close Reconstructed,High Reconstructed,Low Reconstructed,Open Reconstructed,Volume Reconstructed
2023-12-01,25.605252061166496,25.998476037091265,26.00345966757752,25.769923178694036,25.913436917604052,53417019.86713673
2023-12-04,25.604250064856295,25.99829152063175,26.003691640668464,25.72602512272969,25.912889212062645,45583192.299822114
2023-12-05,25.647377829296563,26.04236982817783,26.04806346300286,25.75523263868756,25.91876720057588,37372644.87329603
2023-12-06,25.73727836678204,26.133323266014695,26.14106002681697,25.866489960439992,25.974635927690255,27972509.01612743
2023-12-07,25.640271673177462,26.03436248724537,26.18258699256736,25.900511559337907,26.03496666684242,22620899.892864224
2023-12-08,25.74306705620411,26.13791405381391,26.177200484372285,25.869646871157173,26.121216724630308,22351717.925483488
2023-12-11,25.474734010836,25.865101307972672,26.18425773460158,25.540572780542483,26.06488321700505,40571535.495220155
2023-12-12,25.18039905115846,25.566441792678074,25.897254245569048,25.37833115860184,25.8500821704231,40467209.056786686
2023-12-13,24.96133635377958,25.344185821881485,25.675911242417058,25.19065941269925,25.64954366629881,45445519.30183047
2023-12-14,25.126926530436705,25.512675391125942,25.647656975697682,25.259412403329563,25.425670221377057,40731270.76020423
2023-12-15,26.037943036903535,26.43781409095141,26.462692149791938,25.654322879489673,25.65983925854085,101578427.8154998
2023-12-18,26.18889586926211,26.5909225032044,27.049067780150338,26.51469573804925,26.92909743037434,65628244.67977791
2023-12-19,26.21009073100936,26.612349523266783,26.686617950115295,26.178457013962564,26.643562271422976,43088225.25099767
2023-12-20,26.090467629911178,26.490753783378054,26.747921586544358,26.400012973261475,26.747595410384218,37007275.99735303
2023-12-21,26.101107701535827,26.501508136434392,26.611804790897708,26.33356008486368,26.31558095851289,22846600.182699308
2023-12-22,26.331504122374085,26.73552977887658,26.745670381413195,26.49923966208189,26.66175313223647,23289909.03588985
2023-12-25,26.405145636983132,26.810374809652192,26.901783946039995,26.610188049852162,26.68376548620905,20202825.272755545
2023-12-26,26.409911613521658,26.81531600028373,26.916260844291635,26.61713839783873,26.814402247630287,21303420.772214424
2023-12-27,26.447601130333666,26.85369780598041,26.958506501479075,26.661262630194866,26.864278646291886,22064435.563078407
2023-12-28,26.477229660844028,26.883889473165603,26.915376063846423,26.681239193372704,26.811719328767133,18579288.98343442
2023-12-29,26.498581783205147,26.905718121100495,26.892782312554544,26.698940212693515,26.827858967283866,18086897.674644407
2024-01-02,26.520881565338073,26.928541570702592,26.877116163780983,26.719008996873075,26.884691638597527,18188392.038705826
2024-01-03,26.312765624207305,26.717178323148275,26.812775688938356,26.56943949593174,26.819412237077046,20934933.633616753
2024-01-04,26.271474211347495,26.674946933349343,26.71080478669353,26.555176907019955,26.70883399411103,19762804.221319955
2024-01-05,26.234239608213258,26.63669988133401,26.711080642007786,26.54578766978413,26.696824776261625,17934671.96131665
2024-01-08,26.11709715418226,26.5171099347758,26.818064269835187,26.513122279004207,26.701147852533452,12508348.68863945
2024-01-09,25.71487719191144,26.108622875944953,26.609281724673554,26.103844575042796,26.511307172469277,20166164.289566383
2024-01-10,25.553634046272823,25.94544089083323,26.083567903143535,25.789441262591723,26.10265597037906,13417210.490960376
2024-01-11,25.41402261169693,25.804420531526013,25.96302843889251,25.69064367459541,25.861423451578485,14660869.826915583
2024-01-12,25.355665271716514,25.7463052564712,25.97297416718216,25.64119001153177,25.7453620116757,15071752.790855955
2024-01-15,25.276982406123402,25.666733777382735,25.88817607868225,25.65239879724494,25.827311687449484,16232529.41385991
2024-01-16,24.841975178994307,25.224423818263254,25.614749522251863,25.219634654336932,25.483252069452544,25622586.859736357
2024-01-17,24.560935307925735,24.93826223387866,25.27864830122616,24.93211773431639,25.22203819866868,26781884.627634488
2024-01-18,24.54205000901343,24.917767309678545,25.17496141821768,24.879269788501432,24.95114295710725,13169522.131335018
2024-01-19,24.453890396525775,24.82769037196391,25.02343679971043,24.731822583523,24.790442642329484,16797166.812100295
2024-01-22,24.45184573104077,24.82595657847503,24.994567665882137,24.70775884550859,24.813653678106036,15261769.521475146
2024-01-23,24.538231174300506,24.91403860127247,25.063197914192397,24.783969899253947,24.851980860246204,16356815.775640788
2024-01-24,24.81136323017851,25.192094063836436,25.258873528605925,24.95256365090543,24.959490023784227,13003364.901486801
2024-01-25,24.792804550129055,25.173696928888212,25.223706430359627,25.015365761394506,25.074576399724556,12855239.605877165
2024-01-26,24.831366989659927,25.212894502077553,25.26329287030907,24.951016532618752,25.014860389516077,13820271.088132136
2024-01-29,24.972058682500407,25.35598209974982,25.46919283044702,25.157102150648075,25.153711547433925,14324492.789359761
2024-01-30,24.700286958461632,25.080291092630308,25.436285914089982,25.049469774470854,25.410736648923617,14835728.469287042
2024-01-31,24.718476606983035,25.098669477119376,25.15490553561509,24.888467295690354,25.013924047667523,18091862.998160593
2024-02-01,24.805502401850724,25.186619669598567,25.35347724203355,25.040469338904934,25.26079624498536,13001299.915742056
2024-02-02,24.739066777307865,25.118470471609335,25.24177295776739,24.956294852523094,25.148598123136452,13981774.809046742
2024-02-05,24.54369752652178,24.919033725358464,25.13254911212669,24.8345891376572,24.999824484739374,16981564.661184
2024-02-15,24.365883271400662,24.738212986700532,25.047206486257792,24.613665731145336,24.874652255788334,20747865.176665895
2024-02-16,24.511225762950435,24.8863829079206,24.991141633994232,24.692480130641314,24.741382218067024,15509596.485335924
2024-02-19,24.86727027367698,25.248720372483945,25.246018133866823,24.859028697838163,24.92966289004391,15815225.107321635
